city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
 ??????,   ?? ?????? ,????,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"??????? ???? ????? ?? ???? ????? ??? ?????? ?? ??????? ???? ??????? ???????? ???????? ?????????. ?????? ????? ??:



######????? ??????######
??? ????? ???? ???? ????
????
???? ?????
???? ???? (???? ??? ?????? ???? ?????)

######????? ??????######
? ..."
 ??????,   ?? ???????? ,????,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000,"*** ???? ??? ?? ?????? ????? ***

????? ?? ???? ????? ? ??? ? ???? ? ???? ? ? ???? ? ???? ??????? ? ? ??? ??? ???? ????? ????? ? ???? ????? ?? ????? ???? ????? ???? ???? 

??????? ?? ???? ???????? 0537525709"
 ??????,   ?? ???????? ,????,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000,???? ??????? ??? ????? ??? ????? ???? ???? ????? ??? ???? ?? ???? ???? ??? ???? ??? ????? ?????? ???? ????? ?? ????? ????? ???? ??? ???? ???? ??????? +??? ??????? ???? ????? ?? ????? ??? ??????? ?????? 20000??? ????????? ?????? ??????? ?? ???? ??????...
 ??????,   ?? ???????? ,???,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000,"???? ???????        ????? ?? ??????          ???? 20



????? ??     ?? ???? ???  ????? ?????  ????? ?????  ?? ???? ???? 

??? ???  ? ???? ?????  ?? ???? ????? ?????? ???? 
??? ???? ????? ????? ???? 
??????? ?????? .

????? 0553216330"
 ??????,   ?? ?????? ,???,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000,"???? ??????? ?? ?????? 

?????? ????? ??????? ????? ?????? ???? 
?????? 
??? ??? ????? 

????????? ??? ???? 
0533332881"
 ??????,   ?? ???????? ,???,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000,"?????? ?? ?? ???????? 
????? ?? ???? ???? ?? ????? ?? ???? ????
????? ?????? ????? ?? ???? ????? ???? ????? ????? ????
????? ????? ?????? ??? ??? ????? ????
????? ???? ????? ????? ????
???? ?????? ????? ...
??????// ??? ??? ??? ??????? ?????? ???? ? ..."
 ??????,   ?? ??????? ,????,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000,"????? ????? ???
?? ???????
??? ?? ? ????"
 ??????,   ?? ?????? ,????,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"??????? ???? ????? ?? ???? ????? ??? ?????? ?? ??????? ???? ??????? ???????? ???????? ?????????. ?????? ????? ??:



######????? ??????######
??? ????? ???? ???? ????
????
???? ?????
???? ???? (???? ??? ?????? ???? ?????)

######????? ??????######
? ..."
 ??????,   ?? ????? ,???? ????,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000,???? ??????? ??? ?????? ???? ?? ?????? ???????? ?? ????
 ??????,   ?? ?????? ,???? ????,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000,"New house for rent 150.000SR
New 
0500069102
New
4 bedrooms
4 bahrooms
4 livingrooms
Kitchen
Garage
No roof
New
0500069102

??? ???? ???? ????? ???? ??? 
150.000 ????"
